Export period 25.02.2020 - 24.02.2021
8600739;"Bispebjerg St.";722504;6179082
8600736;"Flintholm St.";719923;6176619
8600734;"Jyllingevej St.";718545;6177149
8600668;"Snekkersten St.";723411;6212904
8600669;"Helsingør St.";725156;6215714
8600666;"Humlebæk St.";720525;6207682
8600667;"Espergærde St.";721338;6211299
8600664;"Kokkedal St.";718909;6200881
8600665;"Nivå St.";719023;6204215
8600662;"Vedbæk St.";723008;6195450
8600663;"Rungsted Kyst St.";720868;6198610
8600661;"Skodsborg St.";723694;6192210
8600526;"Odense Sygehus St.";586591;6138084
8600318;"Kliplev St.";525531;6087656
8600608;"Sorø St.";662613;6144460
8600689;"Vangede St.";721167;6182728
8600688;"Emdrup St.";722362;6180696
8600605;"Slagelse St.";648721;6142628
8600683;"Hillerød St.";706842;6202899
8600600;"Hvidovre St.";718512;6174215
8600681;"Allerød St.";710024;6196816
8600680;"Rødovre St.";717523;6174200
8600601;"Korsør St.";635368;6136582
8600189;"Struer St.";475486;6260842
8600187;"Vinderup St.";486562;6259823
8600183;"Skive St.";501584;6268596
8600182;"Højslev St.";506784;6267226
8600100;"Padborg St.";523114;6075154
8600180;"Stoholm St.";509241;6260335
8600809;"Holme-Olstrup St.";681019;6127530
8600806;"Tureby St.";694908;6140632
8600807;"Haslev St.";687829;6135437
8600805;"Herfølge St.";698560;6145753
8600802;"Lille Skensved St.";698282;6156180
8600803;"Køge St.";701462;6150325
8600800;"Gadstrup St.";695401;6162892
8600801;"Havdrup St.";696654;6159681
8600032;"Hobro St.";548006;6277981
8600727;"Kalundborg St.";631361;6172204
8600724;"Svebølle St.";644188;6169753
8600722;"Mørkøv St.";657406;6170465
8600723;"Jyderup St.";650853;6170876
8600720;"Regstrup St.";664278;6173287
8600721;"Knabstrup St.";660623;6171742
8600658;"Ordrup St.";724816;6185526
8600659;"Klampenborg St.";724989;6187138
8600657;"Charlottenlund St.";724159;6184241
8600654;"Svanemøllen St.";724738;6180223
8600655;"Hellerup St.";723997;6181910
8600653;"Nordhavn St.";725584;6179159
8600650;"Østerport St.";725482;6177691
8600518;"Nyborg St.";614400;6131202
8600512;"Odense St.";587816;6140377
8600511;"Holmstrup St.";580641;6135819
8600858;"CPH Lufthavn";729707;6170880
8600856;"Ørestad St.";725284;6170537
8600857;"Tårnby St.";726743;6170771
8600300;"Aulum St.";486906;6235616
8600773;"Glumsø St.";670873;6137440
8600770;"Greve St.";707715;6164402
8600771;"Karlslunde St.";706108;6162662
8600566;"Stenstrup St.";596201;6110493
8600567;"Stenstrup Syd St.";596622;6109237
8600564;"Rudme St.";594645;6117909
8600565;"Kværndrup St.";596753;6115620
8600562;"Pederstrup St.";594387;6127333
8600563;"Ringe St.";594206;6122404
8600560;"Højby Fyn St.";590991;6132472
8600561;"Årslev St.";593077;6129300
8600029;"Arden St.";552560;6292084
8600027;"Skørping St.";554142;6299450
8600020;"Aalborg St.";555643;6322550
8601801;"Emmersbæk St.";558464;6381480
8601802;"Herregårdsparken St.";557923;6370485
8601803;"Hirtshals St.";557521;6383671
8601813;"Horne St.";558179;6380053
8601824;"Lilleheden St.";558372;6382985
8601836;"Teglgårdsvej St.";557809;6368959
8601839;"Tornby St.";556844;6377212
8601842;"Vellingshøj St.";558091;6371259
8601843;"Vidstrup St.";556795;6373549
8604102;"Bunken St.";585944;6388414
8604103;"Frederikshavnsvej St.";593139;6399131
8604105;"Hulsig St.";587295;6391752
8604109;"Jerup St.";584861;6377543
8604111;"Napstjært St.";584271;6380031
8604113;"Rimmen St.";586583;6374526
8604115;"Skagen St.";594825;6399087
8604117;"Strandby St. (Frederikshavn)";589342;6372899
8604119;"Ålbæk St.";584186;6384231
8600777;"Grønholt St.";710371;6205972
8601401;"Duemose St.";703390;6211965
8601403;"Gilleleje St.";705287;6224746
8601409;"Græsted St.";704549;6219062
8601411;"Helsinge St.";699743;6213259
8601417;"Holløse St.";694074;6217083
8601428;"Græsted Syd St.";705155;6218007
8601431;"Saltrup St.";706839;6217119
8601437;"Tisvildeleje St.";691622;6216944
8601439;"Vejby St.";695252;6217491
8601601;"Dronningmølle St.";710657;6222133
8601606;"Grønnehave St. (Helsingør)";724914;6216452
8601607;"Hellebæk St.";721219;6219194
8601613;"Hornbæk St.";715210;6221404
8601615;"Horneby Sand St.";713697;6221406
8601617;"Højstrup St.";723827;6217159
8601623;"Marienlyst St.";724362;6216751
8601625;"Saunte St.";716851;6220121
8601627;"Skibstrup St.";718589;6220353
8601633;"Ålsgårde St.";720217;6220088
8601709;"Frederiksværk St.";688449;6206651
8601713;"Gørløse St.";700272;6198116
8601721;"Hundested St.";678047;6205699
8601733;"Skævinge St.";696843;6200273
8603007;"Lyngby Lokal St.";719854;6186480
8603009;"Nærum St.";721058;6191004
8603013;"Ørholm St.";719927;6189347
8600685;"Fredensborg St.";712558;6208788
8600686;"Kvistgård St.";718476;6210546
8600779;"Mørdrup St.";720246;6211948
8600902;"Vallø St.";702110;6143976
8600905;"Hårlev St.";704604;6138659
8600907;"Varpelev St.";707931;6138907
8600071;"Hedensted St.";543822;6180432
8600054;"Viby Jylland St.";572175;6220304
8600117;"Aalborg Vestby St.";555118;6323684
8600026;"Støvring St.";551416;6305567
8600022;"Skalborg St.";554561;6318676
8600023;"Svenstrup St. (Jylland)";552055;6314717
803000101;"Brovst Busterminal (Jammerbugt kommune)";531597;6328241
803000401;"Halvrimmen gl. station (Banevej / Jammerbugt K.)";535622;6329889
803000402;"Halvrimmen gl. station (Banevej / Jammerbugt K.)";535629;6329878
803000501;"Langeslund Kirke (Arentsminde / Jammerbugt Km.)";537713;6331139
