UIC,Parent_UIC,Stationsnavn,Forkortelse,Region nr,Region navn,Kommune nr,Kommune navn,FjernRegional,Stog,KystKastrup,Arriva,Metro,Privatbane,Letbane,Border,Øst,Vest,H-omr,Lukket,Planlagt station,LTM_ID,LTM_ID_1,LTM_ID_S,LTM_ID_M,LTM_ID_LB,LTM_ID_PB,OTM_ID,OTM_ID_1,OTM_ID_S,OTM_ID_LB,X-koordinat,Y-koordinat
8603505,,Asnæs,0,1085,Sjælland,306,Odsherred,0,0,0,0,0,1,0,0,1,0,0,0,0,8603505,0,0,0,0,0,0,0,0,0,0,0
8603393,,Mozarts Plads,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603393,0,0,0,0,0,0,0,0,0,0,0
8603392,,Sluseholmen,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603392,0,0,0,0,0,0,0,0,0,0,0
8603391,,Enghave Brygge,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603391,0,0,0,0,0,0,0,0,0,0,0
8603390,,Havneholmen,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603390,0,0,0,0,0,0,0,0,0,0,0
8603345,,Orientkaj,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603345,0,0,0,0,0,0,0,0,0,0,0
8603344,,Enghave Plads,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603344,0,0,0,0,0,0,0,0,0,0,0
8603343,,Frederiksberg Alle,0,1084,Hovedstaden,147,Frederiksberg,0,0,0,0,1,0,0,0,1,0,1,0,1,8603343,0,0,0,0,0,0,0,0,0,0,0
8603342,,Aksel Møllers Have,0,1084,Hovedstaden,147,Frederiksberg,0,0,0,0,1,0,0,0,1,0,1,0,1,8603342,0,0,0,0,0,0,0,0,0,0,0
8603341,,Nuuks Plads,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603341,0,0,0,0,0,0,0,0,0,0,0
8603340,,Nørrebros Runddel,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603340,0,0,0,0,0,0,0,0,0,0,0
8603339,8600642,Nørrebro,Nø,1084,Hovedstaden,101,København,0,1,0,0,1,0,0,0,1,0,1,0,0,8600642,0,0,8603431,0,0,0,0,0,0,0,0
8603338,,Skjolds Plads,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603338,0,0,0,0,0,0,0,0,0,0,0
8603337,,Vibenshus Runddel,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603337,0,0,0,0,0,0,0,0,0,0,0
8603336,,Poul Henningsens Plads,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603336,0,0,0,0,0,0,0,0,0,0,0
8603335,,Trianglen,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603335,0,0,0,0,0,0,0,0,0,0,0
8603334,8600650,Østerport,Kk,1084,Hovedstaden,101,København,1,1,1,0,1,0,0,0,1,0,1,0,0,8600650,0,1108600650,8603426,0,0,0,0,0,0,0,0
8603333,,Marmorkirken,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603333,0,0,0,0,0,0,0,0,0,0,0
8603332,,Gammel Strand,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603332,0,0,0,0,0,0,0,0,0,0,0
8603331,,Rådhuspladsen,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,1,8603331,0,0,0,0,0,0,0,0,0,0,0
8603330,8600626,København H,Kh,1084,Hovedstaden,101,København,1,1,1,0,1,0,0,0,1,0,1,0,0,8600626,0,1108600626,8603421,0,0,0,0,0,0,0,0
8603328,8600858,Københavns Lufthavn,Cph,1084,Hovedstaden,185,Tårnby,0,0,1,0,1,0,0,0,1,0,1,0,0,8600858,0,0,0,0,0,0,0,0,0,0,0
8603327,,Kastrup,0,1084,Hovedstaden,185,Tårnby,0,0,0,0,1,0,0,0,1,0,1,0,0,8603327,0,0,0,0,0,0,0,0,0,0,0
8603326,,Femøren,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603326,0,0,0,0,0,0,0,0,0,0,0
8603324,,Amager Strand,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603324,0,0,0,0,0,0,0,0,0,0,0
8603323,,Øresund,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603323,0,0,0,0,0,0,0,0,0,0,0
8603322,,Lergravsparken,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603322,0,0,0,0,0,0,0,0,0,0,0
8603321,,Amagerbro,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603321,0,0,0,0,0,0,0,0,0,0,0
8603317,,Vestamager,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603317,0,0,0,0,0,0,0,0,0,0,0
8603315,8600856,Ørestad,Øre,1084,Hovedstaden,101,København,0,0,1,0,1,0,0,0,1,0,1,0,0,8600856,0,0,0,0,0,0,0,0,0,0,0
8603313,,Bella Center,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603313,0,0,0,0,0,0,0,0,0,0,0
8603312,,Sundby,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603312,0,0,0,0,0,0,0,0,0,0,0
8603311,,DR Byen,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603311,0,0,0,0,0,0,0,0,0,0,0
8603310,,Islands Brygge,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603310,0,0,0,0,0,0,0,0,0,0,0
8603309,,Christianshavn,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603309,0,0,0,0,0,0,0,0,0,0,0
8603308,,Kongens Nytorv,0,1084,Hovedstaden,101,København,0,0,0,0,1,0,0,0,1,0,1,0,0,8603308,0,0,0,0,0,0,0,0,0,0,0
8603307,8600646,Nørreport,Kn,1084,Hovedstaden,101,København,1,1,1,0,1,0,0,0,1,0,1,0,0,8600646,0,1108600646,0,0,0,0,0,0,0,0,0
8603306,,Forum,0,1084,Hovedstaden,147,Frederiksberg,0,0,0,0,1,0,0,0,1,0,1,0,0,8603306,0,0,0,0,0,0,0,0,0,0,0
8603305,,Frederiksberg,0,1084,Hovedstaden,147,Frederiksberg,0,0,0,0,1,0,0,0,1,0,1,0,0,8603305,0,0,0,0,0,0,0,0,0,0,0
8603304,,Fasanvej,0,1084,Hovedstaden,147,Frederiksberg,0,0,0,0,1,0,0,0,1,0,1,0,0,8603304,0,0,0,0,0,0,0,0,0,0,0
8603303,,Lindevang,0,1084,Hovedstaden,147,Frederiksberg,0,0,0,0,1,0,0,0,1,0,1,0,0,8603303,0,0,0,0,0,0,0,0,0,0,0
8603302,8600736,Flintholm,Fl,1084,Hovedstaden,147,Frederiksberg,0,1,0,0,1,0,0,0,1,0,1,0,0,8600736,0,1108600736,0,0,0,0,0,0,0,0,0
